arm,rep,utc_start,wall_s,build_label,build_sha,build_dir,model,models_path,device,path,echo,exit_code,outcome,crash_kind,last_step,result_text_sha256,result_line,ov_version,gpu_driver,tokenizers_submodule,log
base_gemma3_CPU_string_echotrue,1,20260907T173024Z,0.56,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_string_echotrue_rep1_20260907T173024Z.txt
base_gemma3_CPU_string_echotrue,2,20260907T173025Z,0.55,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_string_echotrue_rep2_20260907T173025Z.txt
base_gemma3_CPU_string_echotrue,3,20260907T173025Z,0.55,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),75a36557bd2529c3f8378d94060c97a5e80a8822130c055080972aa3c24db278,RESULT text='user\nUnique sampler prompt sentinel 4368\nmodel\nстрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_string_echotrue_rep3_20260907T173025Z.txt
base_gemma3_CPU_chat_history_echotrue,1,20260907T173026Z,2.69,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,true,3221225477,CRASH,access_violation_0xC0000005,STEP generate(list[ChatHistory]),n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_chat_history_echotrue_rep1_20260907T173026Z.txt
base_gemma3_CPU_chat_history_echotrue,2,20260907T173029Z,2.59,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,true,3221225477,CRASH,access_violation_0xC0000005,STEP generate(list[ChatHistory]),n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_chat_history_echotrue_rep2_20260907T173029Z.txt
base_gemma3_CPU_chat_history_echotrue,3,20260907T173031Z,2.33,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,true,3221225477,CRASH,access_violation_0xC0000005,STEP generate(list[ChatHistory]),n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_chat_history_echotrue_rep3_20260907T173031Z.txt
base_gemma3_CPU_add_request_echotrue,1,20260907T173033Z,2.31,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,add_request,true,3221225477,CRASH,access_violation_0xC0000005,STEP add_request,n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_add_request_echotrue_rep1_20260907T173033Z.txt
base_gemma3_CPU_add_request_echotrue,2,20260907T173036Z,2.31,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,add_request,true,3221225477,CRASH,access_violation_0xC0000005,STEP add_request,n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_add_request_echotrue_rep2_20260907T173036Z.txt
base_gemma3_CPU_add_request_echotrue,3,20260907T173038Z,2.27,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,add_request,true,3221225477,CRASH,access_violation_0xC0000005,STEP add_request,n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_add_request_echotrue_rep3_20260907T173038Z.txt
base_gemma3_CPU_string_echofalse,1,20260907T173040Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,false,0,COMPLETED,none,STEP generate(list[str]),153a2f682829cc4464b334a1b86dabf2a77d28734d310ffa54d7e98e83b542af,RESULT text='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_string_echofalse_rep1_20260907T173040Z.txt
base_gemma3_CPU_string_echofalse,2,20260907T173041Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,false,0,COMPLETED,none,STEP generate(list[str]),153a2f682829cc4464b334a1b86dabf2a77d28734d310ffa54d7e98e83b542af,RESULT text='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_string_echofalse_rep2_20260907T173041Z.txt
